"phenotype.X","phenotype.tissue"
"GSM362958",1
"GSM362959",1
"GSM362960",1
"GSM362964",1
"GSM362965",1
"GSM362966",1
"GSM362970",1
"GSM362971",1
"GSM362972",1
"GSM362976",1
"GSM362977",1
"GSM362978",1
"GSM362982",1
"GSM362983",1
"GSM362984",1
"GSM362986",1
"GSM362987",1
"GSM362988",1
"GSM362992",1
"GSM362993",1
"GSM362994",1
"GSM363008",1
"GSM363009",1
"GSM363010",1
"GSM363011",1
"GSM363012",1
"GSM363013",1
"GSM363014",1
"GSM363015",1
"GSM363016",1
"GSM363017",1
"GSM363029",1
"GSM363030",1
"GSM363031",1
"GSM363032",1
"GSM363033",1
"GSM363034",1
"GSM363035",1
"GSM363036",1
"GSM363037",1
"GSM363038",1
"GSM363039",1
"GSM363048",1
"GSM363049",1
"GSM363050",1
"GSM363051",1
"GSM363052",1
"GSM363053",1
"GSM363054",1
"GSM363055",1
"GSM363056",1
"GSM363057",1
"GSM363069",1
"GSM363070",1
"GSM363071",1
"GSM363072",1
"GSM363073",1
"GSM363074",1
"GSM363075",1
"GSM363076",1
"GSM363077",1
"GSM363078",1
"GSM363079",1
"GSM363080",1
"GSM363081",1
"GSM363082",1
"GSM363083",1
"GSM363084",1
"GSM363085",1
"GSM363086",1
"GSM363087",1
"GSM363098",1
"GSM363099",1
"GSM363100",1
"GSM363101",1
"GSM363102",1
"GSM363104",1
"GSM363105",1
"GSM363106",1
"GSM363107",1
"GSM363108",1
"GSM363109",1
"GSM363115",1
"GSM363121",1
"GSM363122",1
"GSM363123",1
"GSM363124",1
"GSM363125",1
"GSM363126",1
"GSM363127",1
"GSM363128",1
"GSM363129",1
"GSM363130",1
"GSM363142",1
"GSM363143",1
"GSM363144",1
"GSM363145",1
"GSM363146",1
"GSM363147",1
"GSM363148",1
"GSM363149",1
"GSM363150",1
"GSM363151",1
"GSM363152",1
"GSM363164",1
"GSM363166",1
"GSM363168",1
"GSM363169",1
"GSM363170",1
"GSM363172",1
"GSM363174",1
"GSM363176",1
"GSM363178",1
"GSM363180",1
"GSM363182",1
"GSM363184",1
"GSM363186",1
"GSM363188",1
"GSM363190",1
"GSM363192",1
"GSM363194",1
"GSM363196",1
"GSM363198",1
"GSM363200",1
"GSM363202",1
"GSM363204",1
"GSM363205",1
"GSM363207",1
"GSM363209",1
"GSM363211",1
"GSM363213",1
"GSM363215",1
"GSM363217",1
"GSM363218",1
"GSM363220",1
"GSM363222",1
"GSM363224",1
"GSM363226",1
"GSM363228",1
"GSM363230",1
"GSM363232",1
"GSM363235",1
"GSM363237",1
"GSM363239",1
"GSM363241",1
"GSM363243",1
"GSM363245",1
"GSM363247",1
"GSM363249",1
"GSM363251",1
"GSM363263",1
"GSM363264",1
"GSM363265",1
"GSM363266",1
"GSM363267",1
"GSM363268",1
"GSM363269",1
"GSM363270",1
"GSM363271",1
"GSM363272",1
"GSM363273",1
"GSM363274",1
"GSM363275",1
"GSM363288",1
"GSM363289",1
"GSM363290",1
"GSM363291",1
"GSM363292",1
"GSM363293",1
"GSM363294",1
"GSM363295",1
"GSM363296",1
"GSM363297",1
"GSM363298",1
"GSM363309",1
"GSM363310",1
"GSM363311",1
"GSM363312",1
"GSM363313",1
"GSM363314",1
"GSM363315",1
"GSM363316",1
"GSM363317",1
"GSM363326",1
"GSM363327",1
"GSM363328",1
"GSM363329",1
"GSM363330",1
"GSM363331",1
"GSM363332",1
"GSM363333",1
"GSM363334",1
"GSM363335",1
"GSM363336",1
"GSM363337",1
"GSM363339",1
"GSM363341",1
"GSM363343",1
"GSM363344",1
"GSM363346",1
"GSM363348",1
"GSM363350",1
"GSM363352",1
"GSM363354",1
"GSM363355",1
"GSM363357",1
"GSM363358",1
"GSM363360",1
"GSM363362",1
"GSM363364",1
"GSM363366",1
"GSM363368",1
"GSM363371",1
"GSM363376",1
"GSM363378",1
"GSM363384",1
"GSM363386",1
"GSM363388",1
"GSM363391",1
"GSM363393",1
"GSM363400",1
"GSM363404",1
