"phenotype.X","phenotype.tissue"
"GSM362961",0
"GSM362962",0
"GSM362963",0
"GSM362967",0
"GSM362968",0
"GSM362969",0
"GSM362973",0
"GSM362974",0
"GSM362975",0
"GSM362979",0
"GSM362980",0
"GSM362981",0
"GSM362985",0
"GSM362989",0
"GSM362990",0
"GSM362991",0
"GSM362995",0
"GSM362996",0
"GSM362997",0
"GSM362998",0
"GSM362999",0
"GSM363000",0
"GSM363001",0
"GSM363002",0
"GSM363003",0
"GSM363004",0
"GSM363005",0
"GSM363006",0
"GSM363007",0
"GSM363018",0
"GSM363019",0
"GSM363020",0
"GSM363021",0
"GSM363022",0
"GSM363023",0
"GSM363024",0
"GSM363025",0
"GSM363026",0
"GSM363027",0
"GSM363028",0
"GSM363040",0
"GSM363041",0
"GSM363042",0
"GSM363043",0
"GSM363044",0
"GSM363045",0
"GSM363046",0
"GSM363047",0
"GSM363058",0
"GSM363059",0
"GSM363060",0
"GSM363061",0
"GSM363062",0
"GSM363063",0
"GSM363064",0
"GSM363065",0
"GSM363066",0
"GSM363067",0
"GSM363068",0
"GSM363088",0
"GSM363089",0
"GSM363090",0
"GSM363091",0
"GSM363092",0
"GSM363093",0
"GSM363094",0
"GSM363095",0
"GSM363096",0
"GSM363097",0
"GSM363103",0
"GSM363110",0
"GSM363111",0
"GSM363112",0
"GSM363113",0
"GSM363114",0
"GSM363116",0
"GSM363117",0
"GSM363118",0
"GSM363119",0
"GSM363120",0
"GSM363131",0
"GSM363132",0
"GSM363133",0
"GSM363134",0
"GSM363135",0
"GSM363136",0
"GSM363137",0
"GSM363138",0
"GSM363139",0
"GSM363140",0
"GSM363141",0
"GSM363153",0
"GSM363154",0
"GSM363155",0
"GSM363156",0
"GSM363157",0
"GSM363158",0
"GSM363159",0
"GSM363160",0
"GSM363161",0
"GSM363162",0
"GSM363163",0
"GSM363165",0
"GSM363167",0
"GSM363171",0
"GSM363173",0
"GSM363175",0
"GSM363177",0
"GSM363179",0
"GSM363181",0
"GSM363183",0
"GSM363185",0
"GSM363187",0
"GSM363189",0
"GSM363191",0
"GSM363193",0
"GSM363195",0
"GSM363197",0
"GSM363199",0
"GSM363201",0
"GSM363203",0
"GSM363206",0
"GSM363208",0
"GSM363210",0
"GSM363212",0
"GSM363214",0
"GSM363216",0
"GSM363219",0
"GSM363221",0
"GSM363223",0
"GSM363225",0
"GSM363227",0
"GSM363229",0
"GSM363231",0
"GSM363233",0
"GSM363234",0
"GSM363236",0
"GSM363238",0
"GSM363240",0
"GSM363242",0
"GSM363244",0
"GSM363246",0
"GSM363248",0
"GSM363250",0
"GSM363252",0
"GSM363253",0
"GSM363254",0
"GSM363255",0
"GSM363256",0
"GSM363257",0
"GSM363258",0
"GSM363259",0
"GSM363260",0
"GSM363261",0
"GSM363262",0
"GSM363276",0
"GSM363277",0
"GSM363278",0
"GSM363279",0
"GSM363280",0
"GSM363281",0
"GSM363282",0
"GSM363283",0
"GSM363284",0
"GSM363285",0
"GSM363286",0
"GSM363287",0
"GSM363299",0
"GSM363300",0
"GSM363301",0
"GSM363302",0
"GSM363303",0
"GSM363304",0
"GSM363305",0
"GSM363306",0
"GSM363307",0
"GSM363308",0
"GSM363318",0
"GSM363319",0
"GSM363320",0
"GSM363321",0
"GSM363322",0
"GSM363323",0
"GSM363324",0
"GSM363325",0
"GSM363338",0
"GSM363340",0
"GSM363342",0
"GSM363345",0
"GSM363347",0
"GSM363349",0
"GSM363351",0
"GSM363353",0
"GSM363356",0
"GSM363359",0
"GSM363361",0
"GSM363363",0
"GSM363365",0
"GSM363367",0
"GSM363369",0
"GSM363370",0
"GSM363372",0
"GSM363373",0
"GSM363374",0
"GSM363375",0
"GSM363380",0
"GSM363381",0
"GSM363382",0
"GSM363397",0
"GSM363402",0
"GSM363407",0
"GSM363417",0
